T_degC,Salnty,O2ml_L
6.84,34.116,1.46
9.46,33.81,
10.74,33.9,
11.3,33.466,4.69
11.33,33.6,5.58
6.04,34.299,0.33
15.35,33.102,6.04
10.41,34.152,1.02
10.78,33.42,4.69
6.18,34.246,0.56
8.29,34.208,1.39
8.0,34.28,0.89
13.85,33.275,5.95
4.21,34.422,0.4
13.78,33.18,6.02
8.23,33.864000000000004,2.85
7.33,34.018,2.78
9.09,34.015,
17.21,33.475,5.71
4.41,34.272,0.4
8.588,33.9352,2.69
17.42,35.219,5.16
14.88,33.57,5.61
9.69,34.11,
8.2,34.152,1.84
16.61,33.4,6.0
15.31,33.686,5.89
11.29,33.17,5.64
7.81,34.22,0.96
13.62,33.605,5.69
7.7,,
6.4,,0.58
11.16,33.44,4.3
13.8,33.597,5.48
20.64,35.03,4.56
20.3,34.52,4.92
21.42,34.483000000000004,5.15
9.35,34.31,1.38
6.61,34.25,0.62
12.31,33.42,5.92
9.52,33.67,
11.89,33.179,5.93
9.0,,
10.62,33.58,3.96
8.79,33.521,4.09
5.72,,0.86
9.92,33.68,
7.93,33.855,2.19
13.0,33.41,5.99
11.37,34.031,
7.921,34.2542,0.807
8.24,34.076,1.58
17.92,33.232,5.62
6.4,34.446,0.14
6.711,34.1743,0.774
12.8,33.901,3.15
11.017,33.5642,4.002
16.592,33.6474,5.384
10.27,33.783,
13.46,32.99,5.39
9.03,34.224000000000004,1.36
17.43,33.59,
14.78,33.7,4.73
22.39,33.39,
13.85,33.331,5.78
7.39,34.126,1.58
7.74,33.96,2.89
7.17,34.181,1.22
13.29,33.37,
15.16,33.39,
9.58,33.629,4.3
11.1,33.91,
6.94,33.958,2.77
9.38,33.91,2.75
11.47,33.393,5.06
11.67,33.47,
10.16,33.806999999999995,3.73
8.76,34.005,2.55
9.78,33.753,4.01
7.98,34.038000000000004,2.34
7.93,34.265,1.01
7.12,34.048,2.31
15.41,,5.09
14.81,33.161,5.87
19.3,34.366,5.28
7.41,34.494,0.07
10.77,33.84,5.4
4.2,34.409,
13.37,32.871,5.89
7.746,34.1419,1.3090000000000002
27.61,35.35,3.65
13.004,33.0302,5.89
6.73,34.25,
11.78,33.548,4.31
5.82,34.222,0.56
12.59,33.71,3.6
15.52,33.53,5.45
18.92,33.513000000000005,5.44
15.469,33.4812,5.769
15.18,33.666,5.27
14.53,33.51,
6.1,34.31,0.31
6.25,34.082,1.29
11.56,33.262,5.51
19.91,34.043,5.36
7.69,34.024,2.68
10.01,34.69,0.35
5.9,34.106,0.95
18.46,33.92,
13.23,32.582,6.29
8.45,33.962,3.05
7.17,34.106,1.65
16.11,33.663000000000004,5.76
18.82,33.47,5.8
12.03,33.57,2.96
12.81,32.89,
13.79,33.184,6.0
11.48,33.178000000000004,5.47
10.74,33.58,3.4
15.34,33.53,5.73
7.98,34.014,2.85
5.52,,0.63
18.797,33.5778,
8.23,34.101,1.65
7.54,33.992,2.68
12.08,33.401,5.38
8.81,33.924,2.93
15.59,33.042,5.95
6.07,34.17,
10.75,,4.15
15.13,32.654,6.05
9.75,33.808,3.46
18.1,33.486,5.54
16.74,33.534,5.68
8.03,33.07,4.73
19.31,34.816,5.23
8.34,34.126999999999995,
10.16,34.024,2.33
16.375,33.6115,5.841
5.37,34.174,0.61
19.7,33.73,5.35
14.84,33.257,6.11
11.81,33.341,5.42
10.22,33.717,3.2
11.81,33.053000000000004,5.46
18.22,33.44,5.42
6.53,34.324,
17.08,34.884,1.44
27.06,35.225,4.69
