YEAR,MONTH,METRIC,d1,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d2,d20,d21,d22,d23,d24,d25,d26,d27,d28,d29,d3,d30,d31,d4,d5,d6,d7,d8,d9
2007,7,TMIN,55.0,58.0,59.0,52.0,53.0,55.0,58.0,58.0,56.0,56.0,61.0,55.0,56.0,57.0,58.0,56.0,55.0,53.0,51.0,51.0,54.0,55.0,54.0,57.0,56.0,56.0,57.0,57.0,58.0,56.0,56.0
2007,8,PRCP,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,8,TMAX,75.0,72.0,75.0,78.0,80.0,80.0,80.0,80.0,77.0,69.0,73.0,72.0,72.0,74.0,76.0,69.0,71.0,78.0,76.0,70.0,73.0,74.0,69.0,79.0,74.0,76.0,74.0,72.0,71.0,72.0,74.0
2007,8,TMIN,54.0,55.0,54.0,57.0,57.0,55.0,55.0,55.0,55.0,52.0,54.0,53.0,50.0,53.0,54.0,50.0,46.0,52.0,50.0,47.0,51.0,53.0,54.0,51.0,57.0,53.0,55.0,56.0,54.0,51.0,55.0
2007,9,PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,9999.0,0.4,0.6,0.0,0.0,0.0,0.0
2007,9,TMAX,77.0,64.0,68.0,71.0,69.0,69.0,66.0,65.0,61.0,60.0,64.0,80.0,67.0,67.0,63.0,47.0,40.0,49.0,55.0,62.0,61.0,50.0,74.0,54.0,9999.0,75.0,63.0,59.0,66.0,68.0,67.0
2007,9,TMIN,54.0,39.0,45.0,45.0,48.0,53.0,52.0,49.0,41.0,38.0,48.0,55.0,43.0,47.0,45.0,32.0,28.0,27.0,31.0,39.0,44.0,9999.0,55.0,22.0,9999.0,50.0,43.0,42.0,43.0,49.0,44.0
2007,10,PRCP,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.2,0.4,0.0,0.0,0.0
2007,10,TMAX,58.0,62.0,56.0,56.0,44.0,48.0,52.0,51.0,35.0,37.0,55.0,50.0,49.0,39.0,41.0,57.0,65.0,62.0,58.0,56.0,59.0,59.0,59.0,51.0,47.0,62.0,53.0,36.0,38.0,56.0,63.0
2007,10,TMIN,35.0,39.0,34.0,41.0,33.0,34.0,34.0,33.0,26.0,24.0,36.0,28.0,22.0,20.0,19.0,31.0,43.0,43.0,42.0,40.0,40.0,43.0,45.0,36.0,31.0,49.0,30.0,26.0,21.0,27.0,39.0
