bib,race,division,city,time,pace
3049,5K,Division:M 25-29,"Provo, UTAH",25:18.1,8:10/M
3050,5K,Division:M 25-29,"Provo, UTAH",23:50.9,7:42/M
3051,5K,Division:M 60-64,"Land O Lakes, FLORIDA",1:00:42.8,19:35/M
3052,5K,Division:M 25-29,"Pleasant Grove, UTAH",41:02.1,13:14/M
3053,5K,Division:F 25-29,"Pleasant Grove, UTAH",41:02.4,13:14/M
3054,5K,Division:M 13-15,"Provo, UTAH",19:47.6,6:23/M
3055,5K,Division:M 25-29,"Highland, UTAH",29:41.6,9:35/M
3056,5K,Division:F 45-49,"Gilbert, ARIZONA",28:23.2,9:09/M
3057,5K,Division:M 55-59,"Gilbert, ARIZONA",33:29.3,10:48/M
3058,5K,Division:M 13-15,"Gilbert, ARIZONA",20:44.6,6:42/M
3059,5K,Division:F 25-29,"Provo, UTAH",33:11.7,10:43/M
3060,5K,Division:M 35-39,"Saratoga Springs, UTAH",32:02.2,10:20/M
3061,5K,Division:M 10-12,"Saratoga Springs, UTAH",32:02.6,10:20/M
3062,5K,Division:M  1- 9,"Saratoga Springs, UTAH",36:12.4,11:41/M
3063,5K,Division:F 16-19,"Orem, UTAH",32:51.0,10:36/M
3064,5K,Division:F 20-24,"Roy, UTAH",55:09.0,17:47/M
3066,5K,Division:M 20-24,"Springville, UTAH",19:19.8,6:14/M
3067,5K,Division:F 20-24,"Mapleton, UTAH",30:13.3,9:45/M
3068,5K,Division:F 30-34,"Provo, UTAH",1:07:46.5,21:52/M
3069,5K,Division:M  1- 9,"Lehi, UTAH",36:23.6,11:44/M
3070,5K,Division:F 10-12,"Lehi, UTAH",36:22.9,11:44/M
3071,5K,Division:M 45-49,"Lehi, UTAH",36:22.4,11:44/M
3072,5K,Division:M 45-49,"American Fork, UTAH",1:04:47.3,20:54/M
3073,5K,Division:F 40-44,"American Fork, UTAH",1:04:47.9,20:54/M
3074,5K,Division:M 13-15,"American Fork, UTAH",1:04:45.9,20:54/M
3075,5K,Division:M 10-12,"Mckinney, TEXAS",24:46.9,8:00/M
3076,5K,Division:M 13-15,"Mckinney, TEXAS",27:40.6,8:56/M
3077,5K,Division:F 16-19,"Mckinney, TEXAS",28:05.6,9:04/M
3078,5K,Division:F 13-15,"Mckinney, TEXAS",36:53.3,11:54/M
3079,5K,Division:F 16-19,"Mckinney, TEXAS",37:12.8,12:00/M
3080,5K,Division:F 45-49,"Mckinney, TEXAS",46:27.6,14:59/M
3081,5K,Division:F  1- 9,"Mckinney, TEXAS",46:30.0,15:00/M
3082,5K,Division:M 55-59,"Alpine, UTAH",27:09.6,8:46/M
3084,5K,Division:F 35-39,"Provo, UTAH",32:17.7,10:25/M
3085,5K,Division:F  1- 9,"Provo, UTAH",38:56.7,12:34/M
3086,5K,Division:M 10-12,"Provo, UTAH",31:17.2,10:06/M
3087,5K,Division:M 13-15,"Provo, UTAH",24:06.2,7:47/M
3088,5K,Division:M 70-80,"Orem, UTAH",59:08.6,19:05/M
3089,5K,Division:F 55-59,"Orem, UTAH",59:03.1,19:03/M
3090,5K,Division:F 25-29,"Orem, UTAH",28:18.0,9:08/M
3091,5K,Division:M 20-24,"Orem, UTAH",21:36.5,6:58/M
3092,5K,Division:M 65-69,"Orem, UTAH",59:03.8,19:03/M
3093,5K,Division:F 35-39,"Orem, UTAH",59:03.6,19:03/M
3094,5K,Division:M  1- 9,"Orem, UTAH",57:56.1,18:41/M
3095,5K,Division:F 20-24,"South Jordan, UTAH",29:01.8,9:22/M
3096,5K,Division:F 55-59,"South Jordan, UTAH",48:05.5,15:31/M
3097,5K,Division:M 20-24,"South Jordan, UTAH",28:06.8,9:04/M
3098,5K,Division:M 25-29,"Eagle Mountain, UTAH",1:03:08.4,20:22/M
3099,5K,Division:F 25-29,"Eagle Mountain, UTAH",1:03:04.5,20:21/M
3100,5K,Division:F 20-24,"Provo, UTAH",43:10.7,13:56/M
3101,5K,Division:M 20-24,"Provo, UTAH",43:10.6,13:56/M
3102,5K,Division:F 16-19,"Keller, TEXAS",43:42.0,14:06/M
3103,5K,Division:M 16-19,"Orem, UTAH",20:00.5,6:27/M
3104,5K,Division:F 30-34,"Mesa, ARIZONA",50:00.9,16:08/M
3105,5K,Division:M 30-34,"Saratoga Springs, UTAH",23:04.1,7:27/M
3106,5K,Division:F 55-59,"Mesa, ARIZONA",50:00.7,16:08/M
3107,5K,Division:M 16-19,"Eagle Mountain, UTAH",20:35.2,6:38/M
3108,5K,Division:M 16-19,"Eagle Mountain, UTAH",36:59.8,11:56/M
3109,5K,Division:F 20-24,"Orem, UTAH",32:36.9,10:31/M
3110,5K,Division:M 20-24,"Orem, UTAH",24:07.8,7:47/M
3111,5K,Division:M  1- 9,"Lehi, UTAH",58:08.8,18:45/M
3112,5K,Division:F 40-44,"Brooklyn, NEW YORK",27:14.7,8:47/M
3113,5K,Division:M 16-19,"Vail, ARIZONA",36:08.9,11:40/M
3114,5K,Division:M 40-44,"Vineyard, UTAH",32:20.6,10:26/M
3115,5K,Division:M 10-12,"Vineyard, UTAH",32:23.2,10:27/M
3116,5K,Division:F 16-19,"Orem, UTAH",24:33.6,7:55/M
3117,5K,Division:M 35-39,"Provo, UTAH",32:40.0,10:32/M
3118,5K,Division:F 35-39,"Provo, UTAH",43:36.2,14:04/M
3119,5K,Division:M 13-15,"Provo, UTAH",42:51.2,13:49/M
3120,5K,Division:M 40-44,"Provo, UTAH",42:34.0,13:44/M
3121,5K,Division:F 13-15,"Orem, UTAH",22:33.9,7:17/M
3122,5K,Division:F 13-15,"Orem, UTAH",22:43.7,7:20/M
3123,5K,Division:F 10-12,"Provo, UTAH",32:40.4,10:32/M
3124,5K,Division:M 16-19,"Sindelfingen, NA",37:00.4,11:56/M
3125,5K,Division:M  1- 9,"Provo, UTAH",42:36.2,13:45/M
3126,5K,Division:M  1- 9,"Provo, UTAH",32:39.7,10:32/M
3127,5K,Division:F 30-34,"Cedar Hills, UTAH",34:18.3,11:04/M
3128,5K,Division:M 40-44,"Cedar Hills, UTAH",34:18.8,11:04/M
3129,5K,Division:F 45-49,"Highland, UTAH",26:59.0,8:42/M
3130,5K,Division:F 45-49,"Provo, UTAH",36:25.6,11:45/M
3131,5K,Division:M 13-15,"Provo, UTAH",21:11.1,6:50/M
3132,5K,Division:F 10-12,"Provo, UTAH",36:24.4,11:45/M
3134,5K,Division:F 10-12,"Provo, UTAH",36:23.8,11:44/M
3135,5K,Division:M 50-54,"Keller, TEXAS",43:41.3,14:06/M
3136,5K,Division:F 13-15,"Orem, UTAH",38:34.2,12:27/M
3137,5K,Division:F 13-15,"Prosper, TEXAS",24:34.8,7:56/M
3138,5K,Division:M 20-24,"Provo, UTAH",40:50.5,13:11/M
3139,5K,Division:F 40-44,"San Clemente, CALIFORNIA",53:56.5,17:24/M
3140,5K,Division:M 13-15,"San Clemente, CALIFORNIA",25:21.6,8:11/M
3141,5K,Division:F 10-12,"San Clemente, CALIFORNIA",53:43.3,17:20/M
3142,5K,Division:M  1- 9,"San Clemente, CALIFORNIA",53:56.8,17:24/M
3143,5K,Division:M 25-29,"Clermont, FLORIDA",46:21.9,14:57/M
