"playerID","total_hits","total_hr","total_rbi","total_sb","firstName","lastName"
"crosbbo01",605,62,276,34,"Bobby","Crosby"
"crosefr01",1541,98,649,113,"Frankie","Crosetti"
"crossla01",2651,47,1378,303,"Lave","Cross"
"crossmo01",1365,31,621,328,"Monte","Cross"
"cruiswa01",644,30,272,49,"Walton","Cruise"
"cruzde01",1109,70,464,16,"Deivi","Cruz"
"cruzjo01",2251,165,1077,317,"Jose","Cruz"
"cruzjo02",1167,204,624,113,"Jose","Cruz"
"cruzju01",916,23,279,343,"Julio","Cruz"
"cruzne02",1721,401,1119,76,"Nelson","Cruz"
"cubbami01",503,34,251,6,"Mike","Cubbage"
"cuccito01",1729,94,884,42,"Tony","Cuccinello"
"cuddymi01",1522,197,794,75,"Michael","Cuddyer"
"cullero01",1072,110,599,26,"Roy","Cullenbine"
"cunnijo01",980,64,436,16,"Joe","Cunningham"
"curtich01",1061,101,461,212,"Chad","Curtis"
"custja01",510,105,323,6,"Jack","Cust"
"cutshge01",1487,25,653,271,"George","Cutshaw"
"cuyleki01",2299,128,1065,328,"Kiki","Cuyler"
"dahlebi01",2461,84,1234,548,"Bill","Dahlen"
"dahlgba01",1056,82,569,18,"Babe","Dahlgren"
"dalledo01",520,22,303,16,"Dom","Dallessandro"
"dalrycl01",710,55,327,3,"Clay","Dalrymple"
"damonjo01",2769,235,1139,408,"Johnny","Damon"
"danieka01",666,104,360,87,"Kal","Daniels"
"danniha01",847,57,397,13,"Harry","Danning"
"darkal01",2089,126,757,59,"Al","Dark"
"darwibo01",559,83,328,15,"Bobby","Darwin"
"daubabr01",525,93,333,5,"Brian","Daubach"
"daubeja01",2326,56,722,251,"Jake","Daubert"
"dauerri01",984,43,372,6,"Rich","Dauer"
"daultda01",891,137,588,50,"Darren","Daulton"
"davalvi01",1122,36,329,125,"Vic","Davalillo"
"davenji01",1142,77,456,16,"Jim","Davenport"
"davisal01",1189,160,683,7,"Alvin","Davis"
"davisch01",2380,350,1372,142,"Chili","Davis"
"davisch02",1154,295,779,19,"Chris","Davis"
"daviser01",1430,282,934,349,"Eric","Davis"
"davisge01",2665,73,1440,619,"George","Davis"
"davisgl01",965,190,603,28,"Glenn","Davis"
"davisha01",1841,75,951,285,"Harry","Davis"
"davisjo02",877,127,490,7,"Jody","Davis"
"daviskh01",782,216,570,18,"Khris","Davis"
"daviski01",515,19,171,32,"Kiddo","Davis"
"davismi02",778,91,371,134,"Mike","Davis"
"davisra01",1111,62,387,415,"Rajai","Davis"
"davisru01",508,84,276,16,"Russ","Davis"
"davissp01",1312,77,647,6,"Spud","Davis"
"davisto02",2121,153,1052,136,"Tommy","Davis"
"daviswi02",2561,182,1053,398,"Willie","Davis"
"dawsoan01",2774,438,1591,314,"Andre","Dawson"
"dealch01",752,11,318,65,"Charlie","Deal"
"deazaal01",669,51,258,91,"Alejandro","De Aza"
"decindo01",1505,237,879,58,"Doug","DeCinces"
"deckege01",756,25,416,112,"George","Decker"
"deerro01",853,230,600,43,"Rob","Deer"
"dejesda01",1434,99,573,66,"David","DeJesus"
"dejesiv01",1167,21,324,194,"Ivan","de Jesus"
"delahed01",2597,101,1466,456,"Ed","Delahanty"
"delahji01",1159,19,489,151,"Jim","Delahanty"
"delgaca01",2038,473,1512,14,"Carlos","Delgado"
"delluda01",736,101,398,41,"David","Dellucci"
"delsiji01",627,40,286,15,"Jim","Delsing"
"demaejo01",813,49,281,15,"Joe","DeMaestri"
"demarfr02",1241,72,591,33,"Frank","Demaree"
"demetdo01",912,163,563,22,"Don","Demeter"
"demonge01",1096,17,497,228,"Gene","DeMontreville"
