country,region,sub-region,iso_alpha,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia
Trinidad and Tobago,Americas,Latin America and the Caribbean,TTO,5.905,1.549,1.532,0.419,0.76,0.111,0.001,1.533
Tunisia,Africa,Northern Africa,TUN,4.490333333333333,1.2986666666666666,1.0533333333333335,0.48666666666666664,0.29833333333333334,0.026,0.028,1.2990000000000002
Turkiye,Asia,Western Asia,TUR,4.950333333333333,1.6660000000000001,1.2556666666666667,0.5746666666666667,0.19033333333333333,0.06766666666666667,0.105,1.0916666666666666
Uganda,Africa,Sub-Saharan Africa,UGA,4.421666666666667,0.773,1.2123333333333333,0.3233333333333333,0.5876666666666667,0.17433333333333334,0.051666666666666666,1.2986666666666666
Ukraine,Europe,Eastern Europe,UKR,4.874666666666666,1.3453333333333335,1.3803333333333334,0.4466666666666666,0.6236666666666667,0.26499999999999996,0.021333333333333333,0.7920000000000001
United Arab Emirates,Asia,Western Asia,ARE,6.687666666666666,1.9366666666666668,1.227,0.541,0.8313333333333333,0.18733333333333335,0.24666666666666667,1.717666666666667
United Kingdom,Europe,Northern Europe,GBR,6.757666666666666,1.8013333333333332,1.4180000000000001,0.654,0.737,0.25,0.3363333333333333,1.5599999999999998
United States,Americas,Northern America,USA,6.781,1.9193333333333333,1.4886666666666668,0.512,0.5956666666666667,0.20133333333333334,0.16733333333333333,1.8956666666666668
Uruguay,Americas,Latin America and the Caribbean,URY,6.588666666666666,1.5890000000000002,1.51,0.5166666666666667,0.7903333333333333,0.09533333333333333,0.22366666666666668,1.8633333333333333
Uzbekistan,Asia,Central Asia,UZB,6.134,1.2060000000000002,1.452,0.5226666666666667,0.8506666666666667,0.2353333333333333,0.21033333333333334,1.6563333333333334
Venezuela,Americas,Latin America and the Caribbean,VEN,5.500333333333334,0.0,1.357,0.449,0.5296666666666666,0.18366666666666664,0.09566666666666668,2.8846666666666665
Vietnam,Asia,South-eastern Asia,VNM,6.052666666666667,1.3193333333333335,1.3373333333333333,0.517,0.8653333333333334,0.08900000000000001,0.152,1.7726666666666666
Yemen,Asia,Western Asia,YEM,3.561,0.651,1.3815,0.33399999999999996,0.40449999999999997,0.07300000000000001,0.1095,0.607
Zambia,Africa,Sub-Saharan Africa,ZMB,3.798666666666667,0.887,0.9039999999999999,0.19733333333333333,0.7146666666666667,0.16266666666666665,0.09866666666666667,0.835
Zimbabwe,Africa,Sub-Saharan Africa,ZWE,3.3136666666666668,0.7776666666666667,0.8973333333333334,0.15966666666666665,0.48266666666666663,0.09100000000000001,0.12633333333333333,0.7793333333333333
